smiles,pka_values,functional_groups,mapping,pka_matrix
NCCc1ccncc1,"[4.98, 9.37]","[{'type': 'Pyridine', 'indices': [6]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'4.98': {'type': 'Pyridine', 'indices': [6]}, '9.37': {'type': 'PrimaryAmine', 'indices': [0]}}","[(6, 4.98), (0, 9.37)]"
Cc1cccc(CCO)n1,[6.1],"[{'type': 'Pyridine', 'indices': [9]}]","{'6.1': {'type': 'Pyridine', 'indices': [9]}}","[(9, 6.1)]"
CC(C)(N)CO,[9.82],"[{'type': 'PrimaryAmine', 'indices': [3]}]","{'9.82': {'type': 'PrimaryAmine', 'indices': [3]}}","[(3, 9.82)]"
CCOc1cc(O)cc(OCC)c1,[9.37],"[{'type': 'Phenol', 'indices': [6]}]","{'9.37': {'type': 'Phenol', 'indices': [6]}}","[(6, 9.37)]"
CN(CC(O)=O)C(=O)CNC(=O)CN,"[2.9, 7.98]","[{'type': 'COOH', 'indices': [4]}, {'type': 'PrimaryAmine', 'indices': [13]}]","{'2.9': {'type': 'COOH', 'indices': [4]}, '7.98': {'type': 'PrimaryAmine', 'indices': [13]}}","[(4, 2.9), (13, 7.98)]"
CC(C)C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(O)=O,"[3.39, 7.41, 10.11]","[{'type': 'COOH', 'indices': [19]}, {'type': 'Phenol', 'indices': [15]}, {'type': 'PrimaryAmine', 'indices': [9]}]","{'3.39': {'type': 'COOH', 'indices': [19]}, '7.41': {'type': 'PrimaryAmine', 'indices': [9]}, '10.11': {'type': 'Phenol', 'indices': [15]}}","[(19, 3.39), (9, 7.41), (15, 10.11)]"
CCOc1ccccc1S,[7.06],"[{'type': 'Thiol', 'indices': [9]}]","{'7.06': {'type': 'Thiol', 'indices': [9]}}","[(9, 7.06)]"
OC(=O)CNC(=O)[C@@H]1CCCN1,"[3.02, 8.97]","[{'type': 'COOH', 'indices': [0]}, {'type': 'SecondaryAmine', 'indices': [11]}]","{'3.02': {'type': 'COOH', 'indices': [0]}, '8.97': {'type': 'SecondaryAmine', 'indices': [11]}}","[(0, 3.02), (11, 8.97)]"
CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(O)=O,"[3.8, 7.78]","[{'type': 'COOH', 'indices': [23]}, {'type': 'PrimaryAmine', 'indices': [3]}]","{'3.8': {'type': 'COOH', 'indices': [23]}, '7.78': {'type': 'PrimaryAmine', 'indices': [3]}}","[(23, 3.8), (3, 7.78)]"
OC(=O)COc1cccc(c1)[N+]([O-])=O,[2.95],"[{'type': 'COOH', 'indices': [0]}]","{'2.95': {'type': 'COOH', 'indices': [0]}}","[(0, 2.95)]"
N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2C(O)=O,"[3.19, 7.81, 9.91]","[{'type': 'COOH', 'indices': [18]}, {'type': 'Phenol', 'indices': [7]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'3.19': {'type': 'COOH', 'indices': [18]}, '7.81': {'type': 'PrimaryAmine', 'indices': [0]}, '9.91': {'type': 'Phenol', 'indices': [7]}}","[(18, 3.19), (0, 7.81), (7, 9.91)]"
CC(C)(C(O)=O)[N+]([O-])=O,[1.81],"[{'type': 'COOH', 'indices': [4]}]","{'1.81': {'type': 'COOH', 'indices': [4]}}","[(4, 1.81)]"
Oc1cccc(c1)[P](O)(O)=O,"[4.52, 10.03]","[{'type': 'Phosphate', 'indices': [8]}, {'type': 'Phosphate', 'indices': [9]}, {'type': 'Phenol', 'indices': [0]}]","{'4.52': {'type': 'Phosphate', 'indices': [8]}, '10.03': {'type': 'Phosphate', 'indices': [9]}}","[(8, 4.52), (9, 10.03)]"
Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C3O,"[1.98, 3.9, 6.68]","[{'type': 'PhosphonicAcid', 'indices': [16]}, {'type': 'PhosphonicAcid', 'indices': [20]}, {'type': 'PhosphonicAcid', 'indices': [21]}, {'type': 'ImidazoleLike', 'indices': [6]}, {'type': 'ImidazoleLike', 'indices': [8]}, {'type': 'Aniline', 'indices': [0]}, {'type': 'AliphaticRingAlcohol', 'indices': [24]}, {'type': 'AliphaticRingAlcohol', 'indices': [26]}]","{'1.98': {'type': 'PhosphonicAcid', 'indices': [16]}, '3.9': {'type': 'Aniline', 'indices': [0]}, '6.68': {'type': 'PhosphonicAcid', 'indices': [20]}}","[(16, 1.98), (0, 3.9), (20, 6.68)]"
C[C@H](NC(=O)CNC(=O)CN)C(O)=O,"[3.18, 7.9]","[{'type': 'COOH', 'indices': [12]}, {'type': 'PrimaryAmine', 'indices': [10]}]","{'3.18': {'type': 'COOH', 'indices': [12]}, '7.9': {'type': 'PrimaryAmine', 'indices': [10]}}","[(12, 3.18), (10, 7.9)]"
N[C@@H](Cc1ccccc1)C(=O)NCC(O)=O,"[3.07, 7.48]","[{'type': 'COOH', 'indices': [14]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'3.07': {'type': 'COOH', 'indices': [14]}, '7.48': {'type': 'PrimaryAmine', 'indices': [0]}}","[(14, 3.07), (0, 7.48)]"
COc1ccc(CCN)cc1O,"[9.23, 10.38]","[{'type': 'Phenol', 'indices': [11]}, {'type': 'PrimaryAmine', 'indices': [8]}]","{'9.23': {'type': 'Phenol', 'indices': [11]}, '10.38': {'type': 'PrimaryAmine', 'indices': [8]}}","[(11, 9.23), (8, 10.38)]"
Cc1[nH]cnc1C,[8.19],"[{'type': 'Imidazole', 'indices': [4]}]","{'8.19': {'type': 'Imidazole', 'indices': [4]}}","[(4, 8.19)]"
CCCNCCNCCC,"[7.38, 10.12]","[{'type': 'SecondaryAmine', 'indices': [3]}, {'type': 'SecondaryAmine', 'indices': [6]}]","{'7.38': {'type': 'SecondaryAmine', 'indices': [3]}, '10.12': {'type': 'SecondaryAmine', 'indices': [6]}}","[(3, 7.38), (6, 10.12)]"
CC(C)(CC(O)=O)CC(O)=O,"[3.7, 6.29]","[{'type': 'COOH', 'indices': [5]}, {'type': 'COOH', 'indices': [9]}]","{'3.7': {'type': 'COOH', 'indices': [5]}, '6.29': {'type': 'COOH', 'indices': [9]}}","[(5, 3.7), (9, 6.29)]"
CC(C)C[C@H](N)C(=O)N[C@@H](C)C(O)=O,"[3.36, 8.08]","[{'type': 'COOH', 'indices': [12]}, {'type': 'PrimaryAmine', 'indices': [5]}]","{'3.36': {'type': 'COOH', 'indices': [12]}, '8.08': {'type': 'PrimaryAmine', 'indices': [5]}}","[(12, 3.36), (5, 8.08)]"
OC(=O)c1cccc(F)c1F,[3.1],"[{'type': 'COOH', 'indices': [0]}]","{'3.1': {'type': 'COOH', 'indices': [0]}}","[(0, 3.1)]"
COc1ccccc1O,[9.98],"[{'type': 'Phenol', 'indices': [8]}]","{'9.98': {'type': 'Phenol', 'indices': [8]}}","[(8, 9.98)]"
O=Cc1cccnc1,[3.75],"[{'type': 'Pyridine', 'indices': [6]}]","{'3.75': {'type': 'Pyridine', 'indices': [6]}}","[(6, 3.75)]"
Cc1ncc(CO)c(C)c1O,"[5.36, 9.34]","[{'type': 'Phenol', 'indices': [10]}, {'type': 'Pyridine', 'indices': [2]}]","{'5.36': {'type': 'Pyridine', 'indices': [2]}, '9.34': {'type': 'Phenol', 'indices': [10]}}","[(2, 5.36), (10, 9.34)]"
NCCCCSCCCCN,"[10.05, 10.73]","[{'type': 'PrimaryAmine', 'indices': [0]}, {'type': 'PrimaryAmine', 'indices': [10]}]","{'10.05': {'type': 'PrimaryAmine', 'indices': [0]}, '10.73': {'type': 'PrimaryAmine', 'indices': [10]}}","[(0, 10.05), (10, 10.73)]"
NCCCC[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@H](CC(O)=O)C(O)=O,"[2.71, 4.12, 7.42, 10.55]","[{'type': 'COOH', 'indices': [24]}, {'type': 'COOH', 'indices': [27]}, {'type': 'SecondaryAmine', 'indices': [14]}, {'type': 'SecondaryAmine', 'indices': [17]}, {'type': 'PrimaryAmine', 'indices': [0]}, {'type': 'PrimaryAmine', 'indices': [10]}, {'type': 'PrimaryAmine', 'indices': [16]}]","{'2.71': {'type': 'COOH', 'indices': [24]}, '4.12': {'type': 'COOH', 'indices': [27]}, '7.42': {'type': 'PrimaryAmine', 'indices': [0]}, '10.55': {'type': 'PrimaryAmine', 'indices': [10]}}","[(24, 2.71), (27, 4.12), (0, 7.42), (10, 10.55)]"
NCC(O)C(O)=O,"[2.66, 9.13]","[{'type': 'COOH', 'indices': [5]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'2.66': {'type': 'COOH', 'indices': [5]}, '9.13': {'type': 'PrimaryAmine', 'indices': [0]}}","[(5, 2.66), (0, 9.13)]"
COc1cccc(OCC(O)=O)c1,[3.14],"[{'type': 'COOH', 'indices': [10]}]","{'3.14': {'type': 'COOH', 'indices': [10]}}","[(10, 3.14)]"
OC(=O)CSCC=C,[3.57],"[{'type': 'COOH', 'indices': [0]}]","{'3.57': {'type': 'COOH', 'indices': [0]}}","[(0, 3.57)]"
Nc1ncnc2n(cnc12)[C@H]3C[C@H](O)[C@@H](CO)O3,[3.77],"[{'type': 'ImidazoleLike', 'indices': [6]}, {'type': 'ImidazoleLike', 'indices': [8]}, {'type': 'Aniline', 'indices': [0]}, {'type': 'AliphaticRingAlcohol', 'indices': [13]}]","{'3.77': {'type': 'Aniline', 'indices': [0]}}","[(0, 3.77)]"
CC(C)(N)C(=O)NC(C)(C)C(=O)NC(C)(C)C(N)=O,[7.76],"[{'type': 'PrimaryAmine', 'indices': [3]}]","{'7.76': {'type': 'PrimaryAmine', 'indices': [3]}}","[(3, 7.76)]"
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(O)=O,"[3.05, 7.66, 9.79]","[{'type': 'COOH', 'indices': [16]}, {'type': 'Phenol', 'indices': [12]}, {'type': 'PrimaryAmine', 'indices': [6]}]","{'3.05': {'type': 'COOH', 'indices': [16]}, '7.66': {'type': 'PrimaryAmine', 'indices': [6]}, '9.79': {'type': 'Phenol', 'indices': [12]}}","[(16, 3.05), (6, 7.66), (12, 9.79)]"
OC(=O)CN(CCN[S](=O)(=O)c1ccccc1)CC(O)=O,"[2.1, 7.82]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [19]}, {'type': 'SecondaryAmine', 'indices': [7]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'2.1': {'type': 'COOH', 'indices': [0]}, '7.82': {'type': 'SecondaryAmine', 'indices': [7]}}","[(0, 2.1), (7, 7.82)]"
NC(=S)NN=Cc1ccc(cc1)[S](O)(=O)=O,[10.8],"[{'type': 'SulfonicAcid', 'indices': [13]}, {'type': 'SecondaryAmine', 'indices': [3]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'10.8': {'type': 'PrimaryAmine', 'indices': [0]}}","[(0, 10.8)]"
CC(C)[C@H](N)C(=O)N[C@H](C(C)C)C(O)=O,"[3.04, 8.22]","[{'type': 'COOH', 'indices': [13]}, {'type': 'PrimaryAmine', 'indices': [4]}]","{'3.04': {'type': 'COOH', 'indices': [13]}, '8.22': {'type': 'PrimaryAmine', 'indices': [4]}}","[(13, 3.04), (4, 8.22)]"
Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)[C@@H](O)[C@H]3O,"[4.07, 7.06]","[{'type': 'PhosphonicAcid', 'indices': [16]}, {'type': 'PhosphonicAcid', 'indices': [20]}, {'type': 'PhosphonicAcid', 'indices': [24]}, {'type': 'PhosphonicAcid', 'indices': [28]}, {'type': 'PhosphonicAcid', 'indices': [29]}, {'type': 'ImidazoleLike', 'indices': [6]}, {'type': 'ImidazoleLike', 'indices': [8]}, {'type': 'Aniline', 'indices': [0]}, {'type': 'AliphaticRingAlcohol', 'indices': [32]}, {'type': 'AliphaticRingAlcohol', 'indices': [34]}]","{'4.07': {'type': 'Aniline', 'indices': [0]}, '7.06': {'type': 'ImidazoleLike', 'indices': [6]}}","[(0, 4.07), (6, 7.06)]"
CC(=O)C(O)=O,[2.3],"[{'type': 'COOH', 'indices': [4]}]","{'2.3': {'type': 'COOH', 'indices': [4]}}","[(4, 2.3)]"
ONC(=O)c1ccccc1,[8.73],"[{'type': 'NHydroxylamine', 'indices': [0]}]","{'8.73': {'type': 'NHydroxylamine', 'indices': [0]}}","[(0, 8.73)]"
COc1cccc(N)c1,[4.21],"[{'type': 'Aniline', 'indices': [7]}]","{'4.21': {'type': 'Aniline', 'indices': [7]}}","[(7, 4.21)]"
Cc1ccc(c(C)n1)[N+]([O-])=O,[2.87],"[{'type': 'Pyridine', 'indices': [7]}]","{'2.87': {'type': 'Pyridine', 'indices': [7]}}","[(7, 2.87)]"
Cc1ccc2ccc3ccc(C)nc3c2n1,[5.83],"[{'type': 'Pyridine', 'indices': [15]}, {'type': 'Pyridine', 'indices': [12]}]","{'5.83': {'type': 'Pyridine', 'indices': [15]}}","[(15, 5.83)]"
OC(=O)c1cc(cc(c1)C(O)=O)C(O)=O,"[3.04, 3.79, 4.63]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [10]}, {'type': 'COOH', 'indices': [13]}]","{'3.04': {'type': 'COOH', 'indices': [0]}, '3.79': {'type': 'COOH', 'indices': [10]}, '4.63': {'type': 'COOH', 'indices': [13]}}","[(0, 3.04), (10, 3.79), (13, 4.63)]"
CC(C)C[C@H](NC(=O)CNC(=O)CN)C(O)=O,[7.9],"[{'type': 'COOH', 'indices': [15]}, {'type': 'PrimaryAmine', 'indices': [13]}]","{'7.9': {'type': 'PrimaryAmine', 'indices': [13]}}","[(13, 7.9)]"
NC[C@H](O)c1ccc(O)cc1,"[8.85, 9.91]","[{'type': 'Phenol', 'indices': [8]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'8.85': {'type': 'Phenol', 'indices': [8]}, '9.91': {'type': 'PrimaryAmine', 'indices': [0]}}","[(8, 8.85), (0, 9.91)]"
OC(=O)CCSSCCC(O)=O,"[4.11, 4.73]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [10]}]","{'4.11': {'type': 'COOH', 'indices': [0]}, '4.73': {'type': 'COOH', 'indices': [10]}}","[(0, 4.11), (10, 4.73)]"
C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](N)CC(O)=O)C(O)=O,"[3.07, 3.6, 7.69]","[{'type': 'COOH', 'indices': [19]}, {'type': 'COOH', 'indices': [22]}, {'type': 'PrimaryAmine', 'indices': [16]}]","{'3.07': {'type': 'COOH', 'indices': [19]}, '3.6': {'type': 'COOH', 'indices': [22]}, '7.69': {'type': 'PrimaryAmine', 'indices': [16]}}","[(19, 3.07), (22, 3.6), (16, 7.69)]"
NCC(=O)NCCCCCCCCNC(=O)CN,"[7.75, 8.41]","[{'type': 'PrimaryAmine', 'indices': [0]}, {'type': 'PrimaryAmine', 'indices': [17]}]","{'7.75': {'type': 'PrimaryAmine', 'indices': [0]}, '8.41': {'type': 'PrimaryAmine', 'indices': [17]}}","[(0, 7.75), (17, 8.41)]"
N#CCc1cccnc1,[4.06],"[{'type': 'Pyridine', 'indices': [7]}]","{'4.06': {'type': 'Pyridine', 'indices': [7]}}","[(7, 4.06)]"
OC1=C(C(=O)C(=C(C1=O)[S](O)(=O)=O)O)[S](O)(=O)=O,"[0.8, 3.81]","[{'type': 'SulfonicAcid', 'indices': [10]}, {'type': 'SulfonicAcid', 'indices': [15]}]","{'0.8': {'type': 'SulfonicAcid', 'indices': [10]}, '3.81': {'type': 'SulfonicAcid', 'indices': [15]}}","[(10, 0.8), (15, 3.81)]"
C[C@@H](NC(=O)[C@@H](N)CCCCN)C(O)=O,"[2.89, 7.63, 10.52]","[{'type': 'COOH', 'indices': [13]}, {'type': 'PrimaryAmine', 'indices': [6]}, {'type': 'PrimaryAmine', 'indices': [11]}]","{'2.89': {'type': 'COOH', 'indices': [13]}, '7.63': {'type': 'PrimaryAmine', 'indices': [6]}, '10.52': {'type': 'PrimaryAmine', 'indices': [11]}}","[(13, 2.89), (6, 7.63), (11, 10.52)]"
OC(=O)c1cc(Nc2ccccc2)cc(n1)C(O)=O,"[1.4, 8.65]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [17]}, {'type': 'Pyridine', 'indices': [15]}, {'type': 'SecondaryAmine', 'indices': [6]}]","{'1.4': {'type': 'COOH', 'indices': [0]}, '8.65': {'type': 'SecondaryAmine', 'indices': [6]}}","[(0, 1.4), (6, 8.65)]"
Cc1nccn1C=C,[7.09],"[{'type': 'ImidazoleLike', 'indices': [2]}, {'type': 'ImidazoleLike', 'indices': [5]}]","{'7.09': {'type': 'ImidazoleLike', 'indices': [2]}}","[(2, 7.09)]"
CO[P]([O-])(=O)O[P]([O-])(=O)O[P](O)(O)=O,[6.45],"[{'type': 'PhosphonicAcid', 'indices': [11]}, {'type': 'PhosphonicAcid', 'indices': [12]}]","{'6.45': {'type': 'PhosphonicAcid', 'indices': [11]}}","[(11, 6.45)]"
OC(=O)CCCCC(O)=O,"[4.37, 5.06]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [8]}]","{'4.37': {'type': 'COOH', 'indices': [0]}, '5.06': {'type': 'COOH', 'indices': [8]}}","[(0, 4.37), (8, 5.06)]"
Cn1ccnc1C,[8.21],"[{'type': 'ImidazoleLike', 'indices': [1]}, {'type': 'ImidazoleLike', 'indices': [4]}]","{'8.21': {'type': 'ImidazoleLike', 'indices': [1]}}","[(1, 8.21)]"
CC(=O)c1c(C)cc(C)nc1C,[5.91],"[{'type': 'Pyridine', 'indices': [9]}]","{'5.91': {'type': 'Pyridine', 'indices': [9]}}","[(9, 5.91)]"
NCc1cccnc1,"[3.88, 8.88]","[{'type': 'Pyridine', 'indices': [6]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'3.88': {'type': 'Pyridine', 'indices': [6]}, '8.88': {'type': 'PrimaryAmine', 'indices': [0]}}","[(6, 3.88), (0, 8.88)]"
CC1CCC(=C(C1)NO)N=O,[10.54],"[{'type': 'NHydroxylamine', 'indices': [8]}]","{'10.54': {'type': 'NHydroxylamine', 'indices': [8]}}","[(8, 10.54)]"
COc1cccc(C(O)=O)c1OC,[3.5],"[{'type': 'COOH', 'indices': [8]}]","{'3.5': {'type': 'COOH', 'indices': [8]}}","[(8, 3.5)]"
Cc1c(Br)c(O)c(Br)cc1C2(O[S](=O)(=O)c3ccccc23)c4cc(Br)c(O)c(Br)c4C,[4.68],"[{'type': 'Phenol', 'indices': [5]}, {'type': 'Phenol', 'indices': [26]}]","{'4.68': {'type': 'Phenol', 'indices': [5]}}","[(5, 4.68)]"
C[C@@H](NC(=O)[C@@H]1CCCN1)C(O)=O,"[3.15, 9.09]","[{'type': 'COOH', 'indices': [11]}, {'type': 'SecondaryAmine', 'indices': [9]}]","{'3.15': {'type': 'COOH', 'indices': [11]}, '9.09': {'type': 'SecondaryAmine', 'indices': [9]}}","[(11, 3.15), (9, 9.09)]"
CCSCCSCC(O)=O,[3.61],"[{'type': 'COOH', 'indices': [8]}]","{'3.61': {'type': 'COOH', 'indices': [8]}}","[(8, 3.61)]"
OC(=O)CN(CC(O)=O)CC(=O)c1sccc1,"[2.0, 7.46]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [7]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'2.0': {'type': 'COOH', 'indices': [0]}, '7.46': {'type': 'TertiaryAmine', 'indices': [4]}}","[(0, 2.0), (4, 7.46)]"
COc1ccc([Se]CC(O)=O)cc1,[3.75],"[{'type': 'COOH', 'indices': [9]}]","{'3.75': {'type': 'COOH', 'indices': [9]}}","[(9, 3.75)]"
FC1(F)CNCCNCCCNCCNC1,"[7.52, 10.78]","[{'type': 'SecondaryAmine', 'indices': [4]}, {'type': 'SecondaryAmine', 'indices': [7]}, {'type': 'SecondaryAmine', 'indices': [11]}, {'type': 'SecondaryAmine', 'indices': [14]}]","{'7.52': {'type': 'SecondaryAmine', 'indices': [4]}, '10.78': {'type': 'SecondaryAmine', 'indices': [7]}}","[(4, 7.52), (7, 10.78)]"
NC(=O)CCCc1cccnc1,[5.33],"[{'type': 'Pyridine', 'indices': [10]}]","{'5.33': {'type': 'Pyridine', 'indices': [10]}}","[(10, 5.33)]"
NCCC[P](O)(O)=O,"[1.6, 6.88, 11.04]","[{'type': 'Phosphate', 'indices': [5]}, {'type': 'Phosphate', 'indices': [6]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'1.6': {'type': 'Phosphate', 'indices': [5]}, '6.88': {'type': 'Phosphate', 'indices': [6]}, '11.04': {'type': 'PrimaryAmine', 'indices': [0]}}","[(5, 1.6), (6, 6.88), (0, 11.04)]"
C(Cc1ccccn1)Cc2ccccn2,"[4.8, 6.15]","[{'type': 'Pyridine', 'indices': [7]}, {'type': 'Pyridine', 'indices': [14]}]","{'4.8': {'type': 'Pyridine', 'indices': [7]}, '6.15': {'type': 'Pyridine', 'indices': [14]}}","[(7, 4.8), (14, 6.15)]"
CC(C)(N)C(O)=O,"[2.44, 10.22]","[{'type': 'COOH', 'indices': [5]}, {'type': 'PrimaryAmine', 'indices': [3]}]","{'2.44': {'type': 'COOH', 'indices': [5]}, '10.22': {'type': 'PrimaryAmine', 'indices': [3]}}","[(5, 2.44), (3, 10.22)]"
C[C@@H](O[P](O)(O)=O)[C@H](N)C(O)=O,"[2.25, 5.83, 9.67]","[{'type': 'PhosphonicAcid', 'indices': [4]}, {'type': 'PhosphonicAcid', 'indices': [5]}, {'type': 'COOH', 'indices': [10]}, {'type': 'PrimaryAmine', 'indices': [8]}]","{'2.25': {'type': 'COOH', 'indices': [10]}, '5.83': {'type': 'PhosphonicAcid', 'indices': [4]}, '9.67': {'type': 'PrimaryAmine', 'indices': [8]}}","[(10, 2.25), (4, 5.83), (8, 9.67)]"
NCc1cccc(CN)n1,"[9.15, 9.53]","[{'type': 'Pyridine', 'indices': [9]}, {'type': 'PrimaryAmine', 'indices': [0]}, {'type': 'PrimaryAmine', 'indices': [8]}]","{'9.15': {'type': 'PrimaryAmine', 'indices': [0]}, '9.53': {'type': 'PrimaryAmine', 'indices': [8]}}","[(0, 9.15), (8, 9.53)]"
Cc1ccc(cc1N(CC(O)=O)CC(O)=O)N(CC(O)=O)CC(O)=O,"[2.16, 3.0, 4.82, 6.58]","[{'type': 'COOH', 'indices': [10]}, {'type': 'COOH', 'indices': [14]}, {'type': 'COOH', 'indices': [19]}, {'type': 'COOH', 'indices': [23]}, {'type': 'TertiaryAmine', 'indices': [7]}, {'type': 'TertiaryAmine', 'indices': [16]}]","{'2.16': {'type': 'COOH', 'indices': [10]}, '3.0': {'type': 'COOH', 'indices': [14]}, '4.82': {'type': 'COOH', 'indices': [19]}, '6.58': {'type': 'COOH', 'indices': [23]}}","[(10, 2.16), (14, 3.0), (19, 4.82), (23, 6.58)]"
CCC(C)N,[10.57],"[{'type': 'PrimaryAmine', 'indices': [4]}]","{'10.57': {'type': 'PrimaryAmine', 'indices': [4]}}","[(4, 10.57)]"
CCC[C@H](N)C(=O)NO,"[7.34, 9.13]","[{'type': 'NHydroxylamine', 'indices': [8]}, {'type': 'PrimaryAmine', 'indices': [4]}]","{'7.34': {'type': 'PrimaryAmine', 'indices': [4]}, '9.13': {'type': 'NHydroxylamine', 'indices': [8]}}","[(4, 7.34), (8, 9.13)]"
OC(=O)c1ccc(F)c(F)c1,[3.79],"[{'type': 'COOH', 'indices': [0]}]","{'3.79': {'type': 'COOH', 'indices': [0]}}","[(0, 3.79)]"
OC(=O)CN(CC1CCCCO1)CC(O)=O,"[1.9, 9.04]","[{'type': 'COOH', 'indices': [0]}, {'type': 'COOH', 'indices': [14]}, {'type': 'TertiaryAmine', 'indices': [4]}]","{'1.9': {'type': 'COOH', 'indices': [0]}, '9.04': {'type': 'TertiaryAmine', 'indices': [4]}}","[(0, 1.9), (4, 9.04)]"
CN1CCCCC1,[10.09],"[{'type': 'TertiaryAmine', 'indices': [1]}]","{'10.09': {'type': 'TertiaryAmine', 'indices': [1]}}","[(1, 10.09)]"
O[P](O)(=O)C1(CCC(=O)N1)[P](O)(O)=O,"[2.25, 6.75, 10.69]","[{'type': 'Phosphate', 'indices': [0]}, {'type': 'Phosphate', 'indices': [2]}, {'type': 'Phosphate', 'indices': [11]}, {'type': 'Phosphate', 'indices': [12]}]","{'2.25': {'type': 'Phosphate', 'indices': [0]}, '6.75': {'type': 'Phosphate', 'indices': [2]}, '10.69': {'type': 'Phosphate', 'indices': [11]}}","[(0, 2.25), (2, 6.75), (11, 10.69)]"
Cc1ccncc1,[6.08],"[{'type': 'Pyridine', 'indices': [4]}]","{'6.08': {'type': 'Pyridine', 'indices': [4]}}","[(4, 6.08)]"
NC1CCCC1,[10.64],"[{'type': 'PrimaryAmine', 'indices': [0]}]","{'10.64': {'type': 'PrimaryAmine', 'indices': [0]}}","[(0, 10.64)]"
OC(=O)COc1ccc(F)cc1,[3.13],"[{'type': 'COOH', 'indices': [0]}]","{'3.13': {'type': 'COOH', 'indices': [0]}}","[(0, 3.13)]"
NCCC(O)=O,"[3.74, 10.34]","[{'type': 'COOH', 'indices': [4]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'3.74': {'type': 'COOH', 'indices': [4]}, '10.34': {'type': 'PrimaryAmine', 'indices': [0]}}","[(4, 3.74), (0, 10.34)]"
CC(=O)NCCC(O)=O,[4.45],"[{'type': 'COOH', 'indices': [7]}]","{'4.45': {'type': 'COOH', 'indices': [7]}}","[(7, 4.45)]"
NC1(CCCC1)[P](O)(O)=O,"[1.0, 5.83, 10.17]","[{'type': 'Phosphate', 'indices': [7]}, {'type': 'Phosphate', 'indices': [8]}, {'type': 'PrimaryAmine', 'indices': [0]}]","{'1.0': {'type': 'Phosphate', 'indices': [7]}, '5.83': {'type': 'Phosphate', 'indices': [8]}, '10.17': {'type': 'PrimaryAmine', 'indices': [0]}}","[(7, 1.0), (8, 5.83), (0, 10.17)]"
CN(CCN1CCNCC1)CCN2CCNCC2,"[7.38, 8.65, 9.12]","[{'type': 'SecondaryAmine', 'indices': [7]}, {'type': 'SecondaryAmine', 'indices': [15]}, {'type': 'TertiaryAmine', 'indices': [1]}, {'type': 'TertiaryAmine', 'indices': [4]}, {'type': 'TertiaryAmine', 'indices': [12]}]","{'7.38': {'type': 'SecondaryAmine', 'indices': [7]}, '8.65': {'type': 'SecondaryAmine', 'indices': [15]}, '9.12': {'type': 'TertiaryAmine', 'indices': [1]}}","[(7, 7.38), (15, 8.65), (1, 9.12)]"
OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)n2cnc3C(=O)N=CNc23,"[2.17, 6.79]","[{'type': 'PhosphonicAcid', 'indices': [10]}, {'type': 'PhosphonicAcid', 'indices': [14]}, {'type': 'PhosphonicAcid', 'indices': [18]}, {'type': 'PhosphonicAcid', 'indices': [19]}, {'type': 'ImidazoleLike', 'indices': [21]}, {'type': 'ImidazoleLike', 'indices': [23]}, {'type': 'AliphaticRingAlcohol', 'indices': [0]}, {'type': 'AliphaticRingAlcohol', 'indices': [3]}]","{'2.17': {'type': 'PhosphonicAcid', 'indices': [10]}, '6.79': {'type': 'PhosphonicAcid', 'indices': [14]}}","[(10, 2.17), (14, 6.79)]"
